"","HHSTFIPS","WHYTRP90","TRAVDAY","strt_hr","counts","tot","prop"
"1","01","work",1,8,6002408.6899,30818262.97252,19.48
"2","01","work",1,9,578652.24506,30818262.97252,1.88
"3","01","work",1,12,6002408.6899,30818262.97252,19.48
"4","01","work",1,15,8407474.7807,30818262.97252,27.28
"5","01","work",1,17,6581060.93496,30818262.97252,21.35
"6","01","work",1,18,2538863.54156,30818262.97252,8.24
"7","01","work",1,22,707394.09044,30818262.97252,2.3
"8","01","work",2,4,4116383.2551,176006200.676552,2.34
"9","01","work",2,5,25481846.675347,176006200.676552,14.48
"10","01","work",2,6,15284837.1628,176006200.676552,8.68
"11","01","work",2,7,20874369.466864,176006200.676552,11.86
"12","01","work",2,8,470704.88975,176006200.676552,0.27
"13","01","work",2,9,810697.42423,176006200.676552,0.46
"14","01","work",2,10,6773578.0461,176006200.676552,3.85
"15","01","work",2,11,14245238.90346,176006200.676552,8.09
"16","01","work",2,12,12632641.784599,176006200.676552,7.18
"17","01","work",2,13,1632656.70989,176006200.676552,0.93
"18","01","work",2,14,9867208.26288,176006200.676552,5.61
"19","01","work",2,15,10919874.464612,176006200.676552,6.2
"20","01","work",2,16,15734660.49892,176006200.676552,8.94
"21","01","work",2,17,19832183.01514,176006200.676552,11.27
"22","01","work",2,18,4960962.39227,176006200.676552,2.82
"23","01","work",2,19,7709871.96829,176006200.676552,4.38
"24","01","work",2,21,4658485.7563,176006200.676552,2.65
"25","01","work",3,4,491357.77563,147216139.730034,0.33
"26","01","work",3,5,1237228.5262,147216139.730034,0.84
"27","01","work",3,6,18322355.23866,147216139.730034,12.45
"28","01","work",3,7,19186926.93257,147216139.730034,13.03
"29","01","work",3,8,11832731.273179,147216139.730034,8.04
"30","01","work",3,9,2769596.81928,147216139.730034,1.88
"31","01","work",3,10,250886.48394,147216139.730034,0.17
"32","01","work",3,11,7482435.723743,147216139.730034,5.08
"33","01","work",3,12,10922617.6144,147216139.730034,7.42
"34","01","work",3,13,3747622.8481,147216139.730034,2.55
"35","01","work",3,14,1237228.5262,147216139.730034,0.84
"36","01","work",3,15,13308881.426069,147216139.730034,9.04
"37","01","work",3,16,10519481.40804,147216139.730034,7.15
"38","01","work",3,17,14236906.065743,147216139.730034,9.67
"39","01","work",3,18,14008488.4148,147216139.730034,9.52
"40","01","work",3,19,7138535.43208,147216139.730034,4.85
"41","01","work",3,21,10522859.2214,147216139.730034,7.15
"42","01","work",4,4,7252847.04442,87984765.27595,8.24
"43","01","work",4,5,4730243.14781,87984765.27595,5.38
"44","01","work",4,6,8804910.695566,87984765.27595,10.01
"45","01","work",4,7,7759054.921717,87984765.27595,8.82
"46","01","work",4,8,3277687.811552,87984765.27595,3.73
"47","01","work",4,9,128239.18129,87984765.27595,0.15
"48","01","work",4,11,235738.657303,87984765.27595,0.27
"49","01","work",4,12,9346763.85142,87984765.27595,10.62
"50","01","work",4,13,3600149.996307,87984765.27595,4.09
"51","01","work",4,14,3139626.8336,87984765.27595,3.57
"52","01","work",4,15,8971026.318379,87984765.27595,10.2
"53","01","work",4,16,11136977.768957,87984765.27595,12.66
"54","01","work",4,17,8919051.156973,87984765.27595,10.14
"55","01","work",4,18,47717.548866,87984765.27595,0.05
"56","01","work",4,19,1077973.88345,87984765.27595,1.23
"57","01","work",4,21,8304546.84604,87984765.27595,9.44
"58","01","work",4,23,1252209.6123,87984765.27595,1.42
"59","01","work",5,4,1023458.2293,91882508.355252,1.11
"60","01","work",5,5,7413423.08641,91882508.355252,8.07
"61","01","work",5,6,8884648.738742,91882508.355252,9.67
"62","01","work",5,7,14027403.930975,91882508.355252,15.27
"63","01","work",5,8,5099516.71349,91882508.355252,5.55
"64","01","work",5,9,1969035.164403,91882508.355252,2.14
"65","01","work",5,11,7771835.8106,91882508.355252,8.46
"66","01","work",5,12,105580.616644,91882508.355252,0.11
"67","01","work",5,14,1023458.2293,91882508.355252,1.11
"68","01","work",5,15,13319526.85418,91882508.355252,14.5
"69","01","work",5,16,12100140.589322,91882508.355252,13.17
"70","01","work",5,17,99686.243503,91882508.355252,0.11
"71","01","work",5,18,15091991.86119,91882508.355252,16.43
"72","01","work",5,20,3952802.287193,91882508.355252,4.3
"73","01","work",6,4,36548.767557,147360680.168504,0.02
"74","01","work",6,5,732965.07047,147360680.168504,0.5
"75","01","work",6,6,9925052.06259,147360680.168504,6.74
"76","01","work",6,7,32333628.268685,147360680.168504,21.94
"77","01","work",6,8,5653860.4746,147360680.168504,3.84
"78","01","work",6,9,23672805.823,147360680.168504,16.06
"79","01","work",6,10,768967.58938,147360680.168504,0.52
"80","01","work",6,12,1189198.59882,147360680.168504,0.81
"81","01","work",6,13,1017503.303917,147360680.168504,0.69
"82","01","work",6,14,250872.02149,147360680.168504,0.17
"83","01","work",6,15,8057269.16861,147360680.168504,5.47
"84","01","work",6,16,17913187.953191,147360680.168504,12.16
"85","01","work",6,17,15190988.743574,147360680.168504,10.31
"86","01","work",6,18,29782829.97345,147360680.168504,20.21
"87","01","work",6,21,584130.32768,147360680.168504,0.4
"88","01","work",6,23,250872.02149,147360680.168504,0.17
"89","01","work",7,1,721332.89197,37560799.501664,1.92
"90","01","work",7,4,183264.35696,37560799.501664,0.49
"91","01","work",7,5,12605100.156,37560799.501664,33.56
"92","01","work",7,6,70160.017892,37560799.501664,0.19
"93","01","work",7,7,8137563.1939,37560799.501664,21.67
"94","01","work",7,8,1131760.73106,37560799.501664,3.01
"95","01","work",7,12,869335.08734,37560799.501664,2.31
"96","01","work",7,14,721332.89197,37560799.501664,1.92
"97","01","work",7,15,12788364.51296,37560799.501664,34.05
"98","01","work",7,16,70160.017892,37560799.501664,0.19
"99","01","work",7,19,262425.64372,37560799.501664,0.7
"100","01","Other Social/Rec",1,7,13468543.74188,129120827.151445,10.43
"101","01","Other Social/Rec",1,8,24107511.122,129120827.151445,18.67
"102","01","Other Social/Rec",1,9,24196298.495223,129120827.151445,18.74
"103","01","Other Social/Rec",1,10,24745562.30407,129120827.151445,19.16
"104","01","Other Social/Rec",1,12,5214884.189331,129120827.151445,4.04
"105","01","Other Social/Rec",1,13,12508754.384423,129120827.151445,9.69
"106","01","Other Social/Rec",1,14,2791434.877553,129120827.151445,2.16
"107","01","Other Social/Rec",1,15,10626317.09699,129120827.151445,8.23
"108","01","Other Social/Rec",1,16,4010510.0834,129120827.151445,3.11
"109","01","Other Social/Rec",1,17,1127418.1814,129120827.151445,0.87
"110","01","Other Social/Rec",1,18,4131307.1109,129120827.151445,3.2
"111","01","Other Social/Rec",1,19,1020801.59679,129120827.151445,0.79
"112","01","Other Social/Rec",1,20,1171483.967485,129120827.151445,0.91
"113","01","Other Social/Rec",2,4,1349181.8017,80272677.534085,1.68
"114","01","Other Social/Rec",2,5,8331893.9977,80272677.534085,10.38
"115","01","Other Social/Rec",2,6,3897603.42709,80272677.534085,4.86
"116","01","Other Social/Rec",2,7,1432951.17729,80272677.534085,1.79
"117","01","Other Social/Rec",2,8,3612493.36315,80272677.534085,4.5
"118","01","Other Social/Rec",2,9,2542948.61369,80272677.534085,3.17
"119","01","Other Social/Rec",2,10,949383.72097,80272677.534085,1.18
"120","01","Other Social/Rec",2,11,2569193.289874,80272677.534085,3.2
"121","01","Other Social/Rec",2,12,8953143.26627,80272677.534085,11.15
"122","01","Other Social/Rec",2,13,3171770.485704,80272677.534085,3.95
"123","01","Other Social/Rec",2,14,1857864.322991,80272677.534085,2.31
"124","01","Other Social/Rec",2,16,4869962.277795,80272677.534085,6.07
"125","01","Other Social/Rec",2,17,7835478.465453,80272677.534085,9.76
"126","01","Other Social/Rec",2,18,16979434.19306,80272677.534085,21.15
"127","01","Other Social/Rec",2,19,9325277.403919,80272677.534085,11.62
"128","01","Other Social/Rec",2,21,2522831.94798,80272677.534085,3.14
"129","01","Other Social/Rec",2,22,71265.779449,80272677.534085,0.09
"130","01","Other Social/Rec",3,6,219502.9185,88311608.463992,0.25
"131","01","Other Social/Rec",3,7,6117574.5756,88311608.463992,6.93
"132","01","Other Social/Rec",3,8,365285.786254,88311608.463992,0.41
"133","01","Other Social/Rec",3,9,4764140.159774,88311608.463992,5.39
"134","01","Other Social/Rec",3,10,2186586.3318,88311608.463992,2.48
"135","01","Other Social/Rec",3,11,13789089.853134,88311608.463992,15.61
"136","01","Other Social/Rec",3,12,3947731.640034,88311608.463992,4.47
"137","01","Other Social/Rec",3,13,8657689.41634,88311608.463992,9.8
"138","01","Other Social/Rec",3,15,15398202.0484,88311608.463992,17.44
"139","01","Other Social/Rec",3,16,4375099.2146,88311608.463992,4.95
"140","01","Other Social/Rec",3,17,11970433.6756,88311608.463992,13.55
"141","01","Other Social/Rec",3,18,9522955.743416,88311608.463992,10.78
"142","01","Other Social/Rec",3,19,828154.394369,88311608.463992,0.94
"143","01","Other Social/Rec",3,20,766552.148612,88311608.463992,0.87
"144","01","Other Social/Rec",3,21,450526.65346,88311608.463992,0.51
"145","01","Other Social/Rec",3,22,4952083.904099,88311608.463992,5.61
"146","01","Other Social/Rec",4,8,894741.73252,53027270.210275,1.69
"147","01","Other Social/Rec",4,9,3203774.97537,53027270.210275,6.04
"148","01","Other Social/Rec",4,10,4671279.65197,53027270.210275,8.81
"149","01","Other Social/Rec",4,11,11256925.9604,53027270.210275,21.23
"150","01","Other Social/Rec",4,12,2144540.77196,53027270.210275,4.04
"151","01","Other Social/Rec",4,13,5816573.904964,53027270.210275,10.97
"152","01","Other Social/Rec",4,14,13411920.064803,53027270.210275,25.29
