"","HHSTFIPS","TRAVDAY","WHYTRP90","period","tot_period","tot","prop"
"1","01",1,"work",1,6002408.6899,457482943.588746,1.31
"2","01",1,"work",2,578652.24506,457482943.588746,0.13
"3","01",1,"work",3,6002408.6899,457482943.588746,1.31
"4","01",1,"work",4,8407474.7807,457482943.588746,1.84
"5","01",1,"work",5,9119924.47652,457482943.588746,1.99
"6","01",1,"work",8,707394.09044,457482943.588746,0.15
"7","01",1,"Other Fam / Business",6,2908985.6543,457482943.588746,0.64
"8","01",1,"Other Fam / Business",7,102035.47738,457482943.588746,0.02
"9","01",1,"Other Fam / Business",8,141764.427924,457482943.588746,0.03
"10","01",1,"School/Church",2,6135314.374761,457482943.588746,1.34
"11","01",1,"School/Church",3,23903303.807388,457482943.588746,5.22
"12","01",1,"School/Church",4,3332270.478239,457482943.588746,0.73
"13","01",1,"School/Church",5,7465849.185858,457482943.588746,1.63
"14","01",1,"School/Church",6,1380202.484249,457482943.588746,0.3
"15","01",1,"School/Church",7,2746133.351085,457482943.588746,0.6
"16","01",1,"Shopping",6,4018726.20206,457482943.588746,0.88
"17","01",1,"Vacation",3,54593.076624,457482943.588746,0.01
"18","01",1,"Visit Friends",2,14126501.46032,457482943.588746,3.09
"19","01",1,"Other Fam / Business",3,60574461.96203,457482943.588746,13.24
"20","01",1,"Other Fam / Business",4,7635838.10557,457482943.588746,1.67
"21","01",1,"Shopping",2,2609564.340971,457482943.588746,0.57
"22","01",1,"Other Social/Rec",1,37576054.86388,457482943.588746,8.21
"23","01",1,"School/Church",1,2739534.027044,457482943.588746,0.6
"24","01",1,"Shopping",1,2103776.725851,457482943.588746,0.46
"25","01",1,"Other Social/Rec",7,1171483.967485,457482943.588746,0.26
"26","01",1,"Shopping",3,22145831.920559,457482943.588746,4.84
"27","01",1,"Shopping",4,7353868.13564,457482943.588746,1.61
"28","01",1,"Shopping",5,28401534.43614,457482943.588746,6.21
"29","01",1,"Other Social/Rec",2,24196298.495223,457482943.588746,5.29
"30","01",1,"Other Fam / Business",5,4147175.15616,457482943.588746,0.91
"31","01",1,"Visit Friends",4,13735742.5495,457482943.588746,3
