"","HH_CBSA","WHYTRP90","TRAVDAY","strt_hr","counts","tot","prop"
"1","12060","work",1,0,127920.21169,17381341.266742,0.74
"2","12060","work",1,3,926694.00554,17381341.266742,5.33
"3","12060","work",1,4,213777.16349,17381341.266742,1.23
"4","12060","work",1,5,489798.19651,17381341.266742,2.82
"5","12060","work",1,6,1374303.97433,17381341.266742,7.91
"6","12060","work",1,8,63055.946081,17381341.266742,0.36
"7","12060","work",1,10,985770.68036,17381341.266742,5.67
"8","12060","work",1,11,389879.38523,17381341.266742,2.24
"9","12060","work",1,12,310707.0288,17381341.266742,1.79
"10","12060","work",1,14,920910.47031,17381341.266742,5.3
"11","12060","work",1,15,3471922.8664,17381341.266742,19.97
"12","12060","work",1,16,127920.21169,17381341.266742,0.74
"13","12060","work",1,18,1197743.579881,17381341.266742,6.89
"14","12060","work",1,19,1843103.89991,17381341.266742,10.6
"15","12060","work",1,20,3824691.62591,17381341.266742,22
"16","12060","work",1,22,192231.5503,17381341.266742,1.11
"17","12060","work",1,23,920910.47031,17381341.266742,5.3
"18","12060","work",2,1,682206.12148,233771666.879422,0.29
"19","12060","work",2,4,3825758.00527,233771666.879422,1.64
"20","12060","work",2,5,3537037.59406,233771666.879422,1.51
"21","12060","work",2,6,27478836.439641,233771666.879422,11.75
"22","12060","work",2,7,27815028.178739,233771666.879422,11.9
"23","12060","work",2,8,23287955.976689,233771666.879422,9.96
"24","12060","work",2,9,5013237.21562,233771666.879422,2.14
"25","12060","work",2,10,18263306.42091,233771666.879422,7.81
"26","12060","work",2,11,514039.75255,233771666.879422,0.22
"27","12060","work",2,12,3122390.394767,233771666.879422,1.34
"28","12060","work",2,13,7317110.55245,233771666.879422,3.13
"29","12060","work",2,14,6370684.31033,233771666.879422,2.73
"30","12060","work",2,15,17532339.65084,233771666.879422,7.5
"31","12060","work",2,16,18631107.376633,233771666.879422,7.97
"32","12060","work",2,17,22539332.814122,233771666.879422,9.64
"33","12060","work",2,18,11550572.036831,233771666.879422,4.94
"34","12060","work",2,19,10871669.34145,233771666.879422,4.65
"35","12060","work",2,20,11127444.20878,233771666.879422,4.76
"36","12060","work",2,21,4023185.41244,233771666.879422,1.72
"37","12060","work",2,22,2565381.41452,233771666.879422,1.1
"38","12060","work",2,23,7703043.6613,233771666.879422,3.3
"39","12060","work",3,2,186566.60835,224404599.838526,0.08
"40","12060","work",3,4,681918.242856,224404599.838526,0.3
"41","12060","work",3,5,7213912.23333,224404599.838526,3.21
"42","12060","work",3,6,24806776.172332,224404599.838526,11.05
"43","12060","work",3,7,24744766.223316,224404599.838526,11.03
"44","12060","work",3,8,24425549.92171,224404599.838526,10.88
"45","12060","work",3,9,16990136.02005,224404599.838526,7.57
"46","12060","work",3,10,4418179.59212,224404599.838526,1.97
"47","12060","work",3,11,3415770.142,224404599.838526,1.52
"48","12060","work",3,12,6813612.78182,224404599.838526,3.04
"49","12060","work",3,13,3805443.46628,224404599.838526,1.7
"50","12060","work",3,14,4889391.339241,224404599.838526,2.18
"51","12060","work",3,15,10327417.316767,224404599.838526,4.6
"52","12060","work",3,16,29434757.684603,224404599.838526,13.12
"53","12060","work",3,17,22846254.487701,224404599.838526,10.18
"54","12060","work",3,18,13454753.337438,224404599.838526,6
"55","12060","work",3,19,19952708.004092,224404599.838526,8.89
"56","12060","work",3,20,1408216.57316,224404599.838526,0.63
"57","12060","work",3,21,3510715.74255,224404599.838526,1.56
"58","12060","work",3,22,68922.64391,224404599.838526,0.03
"59","12060","work",3,23,1008831.3049,224404599.838526,0.45
"60","12060","work",4,0,592894.604012,250182765.042441,0.24
"61","12060","work",4,2,604131.44599,250182765.042441,0.24
"62","12060","work",4,3,305301.26454,250182765.042441,0.12
"63","12060","work",4,4,907659.23991,250182765.042441,0.36
"64","12060","work",4,5,23267270.240794,250182765.042441,9.3
"65","12060","work",4,6,22511407.526804,250182765.042441,9
"66","12060","work",4,7,25505278.305772,250182765.042441,10.19
"67","12060","work",4,8,13634491.823639,250182765.042441,5.45
"68","12060","work",4,9,19042262.229711,250182765.042441,7.61
"69","12060","work",4,10,1262377.419558,250182765.042441,0.5
"70","12060","work",4,11,5631090.747717,250182765.042441,2.25
"71","12060","work",4,12,4664199.633477,250182765.042441,1.86
"72","12060","work",4,13,7894932.687192,250182765.042441,3.16
"73","12060","work",4,14,7958390.25798,250182765.042441,3.18
"74","12060","work",4,15,17369943.006781,250182765.042441,6.94
"75","12060","work",4,16,38288717.564532,250182765.042441,15.3
"76","12060","work",4,17,25491369.362539,250182765.042441,10.19
"77","12060","work",4,18,9063218.092408,250182765.042441,3.62
"78","12060","work",4,19,15506744.077498,250182765.042441,6.2
"79","12060","work",4,20,5324413.24485,250182765.042441,2.13
"80","12060","work",4,21,332563.373957,250182765.042441,0.13
"81","12060","work",4,22,2006999.20113,250182765.042441,0.8
"82","12060","work",4,23,3017109.69165,250182765.042441,1.21
"83","12060","work",5,4,172432.93256,137949274.164308,0.12
"84","12060","work",5,5,5469237.871072,137949274.164308,3.96
"85","12060","work",5,6,26322845.304629,137949274.164308,19.08
"86","12060","work",5,7,11999792.418854,137949274.164308,8.7
"87","12060","work",5,8,14401768.88164,137949274.164308,10.44
"88","12060","work",5,9,2223078.3078,137949274.164308,1.61
"89","12060","work",5,10,813395.966419,137949274.164308,0.59
"90","12060","work",5,11,1750610.86446,137949274.164308,1.27
"91","12060","work",5,12,3258495.484129,137949274.164308,2.36
"92","12060","work",5,13,4359455.94156,137949274.164308,3.16
"93","12060","work",5,14,11511342.83818,137949274.164308,8.34
"94","12060","work",5,15,11305264.628424,137949274.164308,8.2
"95","12060","work",5,16,8389914.819246,137949274.164308,6.08
"96","12060","work",5,17,11551773.17214,137949274.164308,8.37
"97","12060","work",5,18,10872303.378976,137949274.164308,7.88
"98","12060","work",5,19,2877311.321789,137949274.164308,2.09
"99","12060","work",5,20,5774717.89972,137949274.164308,4.19
"100","12060","work",5,21,2374829.37579,137949274.164308,1.72
"101","12060","work",5,22,1913735.1332,137949274.164308,1.39
"102","12060","work",5,23,606967.62372,137949274.164308,0.44
"103","12060","work",6,4,29986.811542,158955245.420256,0.02
"104","12060","work",6,5,4673969.769063,158955245.420256,2.94
"105","12060","work",6,6,12843045.76352,158955245.420256,8.08
"106","12060","work",6,7,37305206.241708,158955245.420256,23.47
"107","12060","work",6,8,13099668.445038,158955245.420256,8.24
"108","12060","work",6,9,7402616.313023,158955245.420256,4.66
"109","12060","work",6,10,806655.166157,158955245.420256,0.51
"110","12060","work",6,11,642921.23465,158955245.420256,0.4
"111","12060","work",6,12,2153608.741923,158955245.420256,1.35
"112","12060","work",6,13,2449869.565818,158955245.420256,1.54
"113","12060","work",6,14,2772350.167483,158955245.420256,1.74
"114","12060","work",6,15,18721702.035427,158955245.420256,11.78
"115","12060","work",6,16,12440526.045267,158955245.420256,7.83
"116","12060","work",6,17,19969585.377106,158955245.420256,12.56
"117","12060","work",6,18,12470597.737892,158955245.420256,7.85
"118","12060","work",6,19,4020400.97038,158955245.420256,2.53
"119","12060","work",6,20,3005246.929299,158955245.420256,1.89
"120","12060","work",6,21,907925.876676,158955245.420256,0.57
"121","12060","work",6,22,2428643.58318,158955245.420256,1.53
"122","12060","work",6,23,810718.645104,158955245.420256,0.51
"123","12060","work",7,4,258386.42904,59137964.626944,0.44
"124","12060","work",7,5,1524874.072527,59137964.626944,2.58
"125","12060","work",7,6,6220565.55457,59137964.626944,10.52
"126","12060","work",7,7,1320644.32485,59137964.626944,2.23
"127","12060","work",7,8,1817615.21962,59137964.626944,3.07
"128","12060","work",7,9,11314602.49223,59137964.626944,19.13
"129","12060","work",7,10,5999290.5289,59137964.626944,10.14
"130","12060","work",7,12,658899.713955,59137964.626944,1.11
"131","12060","work",7,13,1457613.65199,59137964.626944,2.46
"132","12060","work",7,14,377029.594187,59137964.626944,0.64
"133","12060","work",7,15,10277733.63405,59137964.626944,17.38
"134","12060","work",7,16,7249463.86806,59137964.626944,12.26
"135","12060","work",7,17,1422537.86898,59137964.626944,2.41
"136","12060","work",7,18,543494.293831,59137964.626944,0.92
"137","12060","work",7,20,2590133.7645,59137964.626944,4.38
"138","12060","work",7,21,4936317.9474,59137964.626944,8.35
"139","12060","work",7,22,1112953.9368,59137964.626944,1.88
"140","12060","work",7,23,55807.731454,59137964.626944,0.09
"141","12060","Other Social/Rec",1,0,3783950.8528,184547206.807995,2.05
"142","12060","Other Social/Rec",1,6,1104437.83992,184547206.807995,0.6
"143","12060","Other Social/Rec",1,8,3421121.420833,184547206.807995,1.85
"144","12060","Other Social/Rec",1,9,5874194.34902,184547206.807995,3.18
"145","12060","Other Social/Rec",1,10,4131026.769654,184547206.807995,2.24
"146","12060","Other Social/Rec",1,11,12955714.55593,184547206.807995,7.02
"147","12060","Other Social/Rec",1,12,19725966.669873,184547206.807995,10.69
"148","12060","Other Social/Rec",1,13,10719145.253456,184547206.807995,5.81
"149","12060","Other Social/Rec",1,14,11617340.055899,184547206.807995,6.3
"150","12060","Other Social/Rec",1,15,7842614.219515,184547206.807995,4.25
"151","12060","Other Social/Rec",1,16,24168369.806786,184547206.807995,13.1
"152","12060","Other Social/Rec",1,17,12657531.930509,184547206.807995,6.86
"153","12060","Other Social/Rec",1,18,34017889.54318,184547206.807995,18.43
"154","12060","Other Social/Rec",1,19,8497978.35183,184547206.807995,4.6
"155","12060","Other Social/Rec",1,20,18267276.45793,184547206.807995,9.9
"156","12060","Other Social/Rec",1,21,3719564.08984,184547206.807995,2.02
"157","12060","Other Social/Rec",1,22,454671.77762,184547206.807995,0.25
"158","12060","Other Social/Rec",1,23,1588412.8634,184547206.807995,0.86
"159","12060","Other Social/Rec",2,5,94249.652098,96336495.1251644,0.1
"160","12060","Other Social/Rec",2,6,1583309.4906258,96336495.1251644,1.64
"161","12060","Other Social/Rec",2,7,3488831.9307668,96336495.1251644,3.62
"162","12060","Other Social/Rec",2,8,1458829.1638898,96336495.1251644,1.51
"163","12060","Other Social/Rec",2,9,2919461.980511,96336495.1251644,3.03
"164","12060","Other Social/Rec",2,10,12303696.246224,96336495.1251644,12.77
"165","12060","Other Social/Rec",2,11,7413863.023258,96336495.1251644,7.7
"166","12060","Other Social/Rec",2,12,6403530.821226,96336495.1251644,6.65
"167","12060","Other Social/Rec",2,13,6365466.658422,96336495.1251644,6.61
"168","12060","Other Social/Rec",2,14,3662775.76427,96336495.1251644,3.8
"169","12060","Other Social/Rec",2,15,5072537.306322,96336495.1251644,5.27
"170","12060","Other Social/Rec",2,16,4600772.111222,96336495.1251644,4.78
"171","12060","Other Social/Rec",2,17,9917053.856527,96336495.1251644,10.29
"172","12060","Other Social/Rec",2,18,15793641.464921,96336495.1251644,16.39
"173","12060","Other Social/Rec",2,19,6831800.87371,96336495.1251644,7.09
"174","12060","Other Social/Rec",2,20,4801600.633554,96336495.1251644,4.98
"175","12060","Other Social/Rec",2,21,2231111.51063,96336495.1251644,2.32
"176","12060","Other Social/Rec",2,22,1393962.636987,96336495.1251644,1.45
"177","12060","Other Social/Rec",3,0,5087441.2632,167879812.817717,3.03
"178","12060","Other Social/Rec",3,5,1567584.11037,167879812.817717,0.93
"179","12060","Other Social/Rec",3,6,1025395.312554,167879812.817717,0.61
"180","12060","Other Social/Rec",3,7,3777249.769149,167879812.817717,2.25
"181","12060","Other Social/Rec",3,8,6351841.69707,167879812.817717,3.78
"182","12060","Other Social/Rec",3,9,4802276.559642,167879812.817717,2.86
"183","12060","Other Social/Rec",3,10,7527562.008548,167879812.817717,4.48
"184","12060","Other Social/Rec",3,11,8277062.730504,167879812.817717,4.93
"185","12060","Other Social/Rec",3,12,7417929.475789,167879812.817717,4.42
"186","12060","Other Social/Rec",3,13,9593895.483834,167879812.817717,5.71
"187","12060","Other Social/Rec",3,14,4861145.473414,167879812.817717,2.9
"188","12060","Other Social/Rec",3,15,11443394.66611,167879812.817717,6.82
"189","12060","Other Social/Rec",3,16,4971662.844739,167879812.817717,2.96
