"","HH_CBSA","tot_w_age","tot_w","avg_age"
"1","12060",30076756.2360158,3450317.97229503,8.72
"2","12420",8204969.24383832,1045834.22703992,7.85
"3","12580",14509272.8368387,1810128.34425633,8.02
"4","13820",8149263.80257285,798502.4944318,10.21
"5","14460",18943405.0419249,2569459.24747922,7.37
"6","15380",5529371.50374592,725059.392881981,7.63
"7","16740",11094321.0369276,1204489.77275191,9.21
"8","16980",41341651.4158062,5474390.25134174,7.55
"9","17140",14450208.3449176,1472209.44503743,9.82
"10","17460",10560582.6132273,1459379.20910366,7.24
"11","18140",11458410.8838363,1243682.17142602,9.21
"12","19100",34423892.6931167,4160063.80565269,8.27
"13","19740",19680619.9492885,1991202.199128,9.88
"14","19820",22476271.7245566,2888702.37811026,7.78
"15","25540",6573278.66002201,788210.12779038,8.34
"16","26420",23784373.9896854,2955676.46038655,8.05
"17","26900",10362271.4279083,1187299.405677,8.73
"18","27260",6865455.72932858,854644.17345221,8.03
"19","28140",14235299.9530013,1412432.86589,10.08
"20","29820",12566195.2042726,1259974.33433764,9.97
"21","31100",67066601.3924161,6883427.12218359,9.74
"22","31140",7861215.10697119,859017.47351469,9.15
"23","32820",7869157.89224235,903375.80391645,8.71
"24","33100",23054085.1356537,3019571.91304521,7.63
"25","33340",7823134.4793785,948132.49437978,8.25
"26","33460",21426981.7755039,2409837.63986545,8.89
"27","34980",9918646.50706381,1098719.01098173,9.03
"28","35380",5679040.86761591,633090.66700419,8.97
"29","35620",62034354.4116555,8274660.82310856,7.5
"30","36420",8419972.9719442,860773.5253849,9.78
"31","36740",9731618.22976467,1235357.17912571,7.88
"32","37980",26405584.8941248,3045453.93780739,8.67
"33","38060",21182131.9138667,2502638.79162757,8.46
"34","38300",13222602.5433385,1582478.38514006,8.36
"35","38900",16019652.6234233,1382609.35791342,11.59
"36","39300",8918166.1300985,1089712.65994939,8.18
"37","39580",7288331.19007495,795174.19108303,9.17
"38","40060",9412187.84892381,952991.148223993,9.88
"39","40140",21015879.6286965,2299782.63567647,9.14
"40","40380",5163100.80679501,648028.680003949,7.97
"41","40900",15111656.848917,1498127.35623622,10.09
"42","41180",16384509.7837127,1988815.49761728,8.24
"43","41620",9021188.94416875,781400.706545,11.54
"44","41700",13347353.1547247,1579829.60857154,8.45
"45","41740",18197551.2497073,1895881.56011129,9.6
"46","41860",28246053.8034504,2761235.10958073,10.23
"47","41940",12178803.0231971,1240658.24548016,9.82
"48","42660",28021008.8541789,2723023.32370005,10.29
"49","45300",14057712.5624904,1738569.87176321,8.09
"50","47260",10726727.6748301,1158050.10990244,9.26
"51","47900",27611679.8116965,3274100.49602558,8.43
